xc,yc
-166.35144,66.18714
-166.33665,66.19324
-167.84552,65.53945
-167.83128,65.5457
-167.81703,65.55194
-167.80278,65.558174
-167.78851,65.564415
-167.77426,65.570656
-167.75998,65.57689
-167.74571,65.58312
-167.73143,65.589355
-167.71715,65.59559
-167.70287,65.601814
-167.68857,65.60804
-167.67427,65.61427
-167.65996,65.6205
-167.64566,65.62672
-167.63133,65.63294
-167.61702,65.63917
-167.60269,65.645386
-167.58836,65.6516
-167.57402,65.65782
-167.5597,65.66404
-167.54533,65.67025
-167.53099,65.67646
-167.51663,65.68268
-167.50227,65.68889
-167.4879,65.69509
-167.47353,65.7013
-167.45915,65.70751
-167.44478,65.713715
-167.43039,65.71992
-167.41599,65.72612
-167.4016,65.73232
-167.38719,65.73852
-167.37279,65.74471
-167.35837,65.750916
-167.34395,65.75711
-167.32953,65.7633
-167.3151,65.76949
-167.30066,65.77568
-167.28622,65.781876
-167.27177,65.78806
-167.25732,65.79425
-167.24287,65.80043
-167.22841,65.80662
-167.21394,65.8128
-167.19948,65.81898
-167.185,65.82516
-167.17052,65.83134
-167.15604,65.83752
-167.14154,65.84369
-167.12704,65.84986
-167.11253,65.85604
-167.09804,65.862206
-167.08353,65.86838
-167.069,65.87455
-167.01088,65.89921
-166.99634,65.905365
-166.89438,65.948456
-166.87979,65.954605
-166.86519,65.960754
-166.8506,65.9669
-166.836,65.97305
-166.80678,65.98534
-166.79216,65.99148
-166.77754,65.99762
-166.76291,66.00375
-166.74828,66.009895
-166.73363,66.01603
-166.719,66.02216
-166.70435,66.0283
-166.68968,66.03443
-166.67502,66.04056
-166.66035,66.04669
-166.64569,66.05282
-166.63101,66.058945
-166.61633,66.06506
-166.60164,66.07119
-166.58694,66.07731
-166.57225,66.083435
-166.55754,66.089554
-166.54285,66.095665
-166.52812,66.10178
-166.51341,66.1079
-166.49869,66.11401
-166.48395,66.120125
-166.46922,66.126236
-166.45448,66.13235
-166.43973,66.13845
-166.39546,66.15677
-166.38069,66.162865
-166.36592,66.16897
-166.35115,66.175064
-166.33636,66.18116
-166.32158,66.18726
-166.30678,66.19335
-166.29198,66.19945
-166.27718,66.205536
-167.83046,65.533554
-167.81622,65.539795
-167.80197,65.546036
-167.78772,65.55227
-167.77347,65.55851
-167.7592,65.56474
-167.74493,65.57098
-167.73065,65.57721
-167.71637,65.58344
-167.70209,65.589676
-167.6878,65.5959
-167.67351,65.602135
-167.65921,65.60836
-167.6449,65.614586
-167.63058,65.620804
-167.61627,65.62703
-167.60196,65.63325
-167.58763,65.639465
-167.5733,65.64568
-167.55896,65.6519
-167.54462,65.65812
-167.53027,65.66433
-167.51593,65.67055
-167.50157,65.67676
-167.48721,65.68297
-167.47284,65.68917
-167.45847,65.69538
-167.44409,65.701584
-167.4297,65.70779
-167.41531,65.71399
-167.40092,65.72019
-167.38654,65.726395
-167.37213,65.73259
-167.35771,65.73879
-167.3433,65.74499
-167.32889,65.751175
-167.31445,65.75737
-167.30003,65.763565
-167.2856,65.76975
-167.27115,65.77594
-167.25671,65.78213
-167.24226,65.788315
-167.2278,65.7945
-167.21335,65.80068
-167.19888,65.80686
-167.1844,65.81304
-167.16994,65.81922
-167.15546,65.8254
-167.14096,65.83157
-167.12646,65.83775
-167.11197,65.843925
-167.09747,65.8501
-167.08296,65.85627
-167.06845,65.862434
-167.05392,65.86861
-167.03941,65.87477
-167.02487,65.880936
-167.01035,65.8871
-166.9958,65.89326
-166.98126,65.89942
-166.9667,65.90558
-166.93759,65.91789
-166.8793,65.942505
-166.86472,65.948654
-166.85013,65.9548
-166.83553,65.96095
-166.82092,65.967094
-166.80632,65.973236
-166.7917,65.97938
-166.77708,65.98552
-166.76247,65.99166
-166.74783,65.9978
-166.7332,66.00394
-166.71855,66.01007
-166.70392,66.016205
-166.68927,66.02234
-166.6746,66.028465
-166.65994,66.0346
-166.64528,66.040726
-166.63062,66.04685
-166.61594,66.05298
-166.60126,66.059105
-166.58656,66.06522
-166.57187,66.07134
-166.55717,66.07747
-166.54247,66.08358
-166.52777,66.0897
-166.51305,66.09582
-166.49834,66.10193
-166.48361,66.10804
-166.46887,66.11415
-166.45415,66.12026
-166.4394,66.12637
-166.42465,66.13248
-166.38039,66.15079
-166.36562,66.15689
-166.35085,66.16299
-166.33607,66.16909
-166.32129,66.175186
-166.3065,66.18128
-166.2917,66.18738
-166.2769,66.19347
-166.2621,66.199554
-166.2473,66.20565
-166.23248,66.21174
